"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2007-05-16","120.78","120.21","120.84","120.14","","0.46%"
"2007-05-15","120.23","120.38","120.58","120.10","","-0.12%"
"2007-05-14","120.38","120.18","120.47","120.02","","0.09%"
"2007-05-11","120.27","119.81","120.27","119.44","","0.28%"
"2007-05-10","119.93","120.04","120.56","119.73","","-0.08%"
"2007-05-09","120.03","119.95","120.16","119.61","","0.02%"
"2007-05-08","120.00","120.08","120.14","119.50","","-0.07%"
"2007-05-07","120.08","120.10","120.20","119.77","","-0.08%"
"2007-05-04","120.18","120.40","120.48","119.89","","-0.17%"
"2007-05-03","120.39","120.19","120.49","119.95","","0.18%"
"2007-05-02","120.17","119.72","120.33","119.54","","0.35%"
"2007-05-01","119.75","119.40","119.92","119.05","","0.23%"
"2007-04-30","119.47","119.18","119.78","119.15","","-0.12%"
"2007-04-27","119.61","119.53","119.77","118.85","","0.04%"
"2007-04-26","119.56","118.59","119.67","118.51","","0.79%"
"2007-04-25","118.62","118.49","118.86","118.25","","0.08%"
"2007-04-24","118.53","118.62","118.95","118.22","","-0.03%"
"2007-04-23","118.56","118.70","119.06","118.21","","-0.13%"
"2007-04-20","118.72","118.45","118.98","118.23","","0.23%"
"2007-04-19","118.45","118.46","118.61","117.59","","-0.12%"
"2007-04-18","118.59","118.89","119.03","118.09","","-0.29%"
"2007-04-17","118.93","119.75","119.84","118.80","","-0.68%"
"2007-04-16","119.75","119.41","119.89","118.96","","0.41%"
"2007-04-13","119.26","119.11","119.57","118.19","","0.09%"
"2007-04-12","119.15","119.33","119.53","118.78","","-0.19%"
"2007-04-11","119.38","119.02","119.56","118.85","","0.26%"
"2007-04-10","119.07","119.30","119.35","118.74","","-0.23%"
"2007-04-09","119.35","119.24","119.40","119.16","","0.06%"
"2007-04-06","119.28","118.71","119.41","118.64","","0.45%"
"2007-04-05","118.74","118.66","119.01","118.41","","0.08%"
"2007-04-04","118.64","118.94","119.10","118.53","","-0.27%"
"2007-04-03","118.96","117.84","118.99","117.70","","0.98%"
"2007-04-02","117.81","117.51","118.08","117.43","","0.02%"
"2007-03-30","117.79","118.06","118.40","117.19","","-0.23%"
"2007-03-29","118.06","116.91","118.10","116.65","","1.05%"
"2007-03-28","116.83","117.84","118.00","116.35","","-0.89%"
"2007-03-27","117.88","118.08","118.41","117.64","","-0.19%"
"2007-03-26","118.10","117.88","118.44","117.62","","0.01%"
"2007-03-23","118.09","118.09","118.26","117.38","","-0.01%"
"2007-03-22","118.10","117.52","118.34","117.22","","0.42%"
"2007-03-21","117.61","117.25","117.97","117.14","","0.28%"
"2007-03-20","117.28","117.65","118.03","116.90","","-0.23%"
"2007-03-19","117.55","116.31","117.78","116.23","","0.74%"
"2007-03-16","116.69","117.49","117.54","116.49","","-0.68%"
"2007-03-15","117.49","117.06","117.79","117.00","","0.37%"
"2007-03-14","117.06","116.21","117.16","115.74","","0.84%"
"2007-03-13","116.09","117.64","117.77","116.03","","-1.34%"
"2007-03-12","117.67","118.33","118.53","117.20","","-0.49%"
"2007-03-09","118.25","117.11","118.39","117.01","","0.96%"
"2007-03-08","117.13","116.08","117.50","115.53","","0.90%"
"2007-03-07","116.08","116.55","116.92","115.96","","-0.38%"
"2007-03-06","116.52","115.53","116.75","115.20","","0.73%"
"2007-03-05","115.68","116.66","116.79","115.13","","-1.04%"
"2007-03-02","116.89","117.51","117.84","116.40","","-0.61%"
"2007-03-01","117.61","118.52","118.87","116.94","","-0.71%"
"2007-02-28","118.45","117.97","118.82","117.86","","0.42%"
"2007-02-27","117.95","120.59","120.77","117.48","","-2.18%"
"2007-02-26","120.58","120.99","121.08","120.33","","-0.39%"
"2007-02-23","121.05","121.54","121.64","120.91","","-0.39%"
"2007-02-22","121.53","120.87","121.64","120.81","","0.49%"
"2007-02-21","120.94","119.96","121.19","119.69","","0.81%"
"2007-02-20","119.97","119.52","120.36","119.51","","0.34%"
"2007-02-19","119.56","119.39","119.75","119.20","","0.17%"
"2007-02-16","119.36","119.19","119.58","118.96","","0.15%"
"2007-02-15","119.18","120.76","120.82","119.15","","-1.29%"
"2007-02-14","120.74","121.14","121.39","120.61","","-0.31%"
"2007-02-13","121.11","121.89","121.96","121.08","","-0.66%"
"2007-02-12","121.92","121.81","122.11","121.57","","0.21%"
"2007-02-09","121.67","121.03","121.77","120.95","","0.53%"
"2007-02-08","121.03","120.65","121.45","120.55","","0.30%"
"2007-02-07","120.67","120.06","120.83","119.98","","0.48%"
"2007-02-06","120.09","120.40","120.58","119.95","","-0.20%"
"2007-02-05","120.33","121.07","121.20","120.22","","-0.66%"
"2007-02-02","121.13","120.75","121.38","120.62","","0.33%"
"2007-02-01","120.73","120.67","120.92","120.09","","0.05%"
"2007-01-31","120.67","121.62","121.76","120.61","","-0.78%"
"2007-01-30","121.62","121.72","122.01","121.45","","-0.11%"
"2007-01-29","121.75","121.44","122.20","121.41","","0.16%"
"2007-01-26","121.56","121.17","121.66","121.15","","0.33%"
"2007-01-25","121.16","121.14","121.31","120.17","","0.04%"
"2007-01-24","121.11","121.62","121.80","120.63","","-0.45%"
"2007-01-23","121.66","121.62","121.75","121.08","","0.07%"
"2007-01-22","121.58","121.24","121.81","121.19","","0.26%"
"2007-01-19","121.27","121.21","121.50","121.08","","-0.01%"
"2007-01-18","121.28","120.64","121.62","120.46","","0.53%"
"2007-01-17","120.64","120.63","120.90","120.32","","0.00%"
"2007-01-16","120.64","120.41","120.78","120.20","","0.16%"
"2007-01-15","120.45","120.39","120.60","120.04","","0.13%"
"2007-01-12","120.29","120.45","120.74","120.14","","-0.15%"
"2007-01-11","120.47","119.64","120.66","119.48","","0.67%"
"2007-01-10","119.67","119.34","119.80","119.12","","0.21%"
"2007-01-09","119.42","118.80","119.56","118.66","","0.56%"
"2007-01-08","118.75","118.63","118.84","118.09","","0.12%"
"2007-01-05","118.61","119.01","119.11","117.96","","-0.35%"
"2007-01-04","119.03","119.36","119.53","118.97","","-0.28%"
"2007-01-03","119.36","118.81","119.70","118.65","","0.46%"
"2007-01-02","118.81","119.02","119.06","118.48","","-0.21%"
"2007-01-01","119.06","119.04","119.06","118.90","","0.03%"
"2006-12-29","119.02","118.91","119.18","118.71","","0.09%"
"2006-12-28","118.91","118.83","119.06","118.50","","0.11%"
"2006-12-27","118.78","119.12","119.22","118.26","","-0.29%"
"2006-12-26","119.13","118.81","119.23","118.68","","0.29%"
"2006-12-25","118.78","118.71","118.97","118.66","","0.01%"
"2006-12-22","118.77","118.31","118.98","118.20","","0.35%"
"2006-12-21","118.36","118.43","118.53","117.92","","-0.04%"
"2006-12-20","118.41","118.13","118.53","117.93","","0.25%"
"2006-12-19","118.12","118.12","118.33","117.79","","0.00%"
"2006-12-18","118.12","117.94","118.29","117.68","","-0.02%"
"2006-12-15","118.14","117.82","118.33","117.41","","0.25%"
"2006-12-14","117.84","117.54","117.91","117.24","","0.26%"
"2006-12-13","117.53","116.76","117.66","116.63","","0.62%"
"2006-12-12","116.80","116.96","117.26","116.66","","-0.16%"
"2006-12-11","116.99","116.42","117.27","116.15","","0.49%"
"2006-12-08","116.42","115.23","116.50","114.88","","1.05%"
"2006-12-07","115.21","115.25","115.40","114.74","","0.02%"
"2006-12-06","115.19","114.84","115.31","114.50","","0.31%"
"2006-12-05","114.83","115.26","115.44","114.41","","-0.46%"
"2006-12-04","115.36","115.43","115.83","115.07","","-0.07%"
"2006-12-01","115.44","115.78","116.40","114.95","","-0.29%"
"2006-11-30","115.78","116.35","116.56","115.49","","-0.53%"
"2006-11-29","116.40","116.11","116.52","115.56","","0.28%"
"2006-11-28","116.08","116.08","116.42","115.87","","-0.01%"
"2006-11-27","116.09","115.51","116.41","115.37","","0.18%"
"2006-11-24","115.88","116.27","116.50","115.56","","-0.37%"
"2006-11-23","116.31","116.67","116.85","116.01","","-0.31%"
"2006-11-22","116.67","117.90","117.95","116.34","","-1.01%"
"2006-11-21","117.86","118.03","118.28","117.72","","-0.17%"
"2006-11-20","118.06","117.84","118.20","117.76","","0.33%"
"2006-11-17","117.67","118.20","118.47","117.49","","-0.41%"
"2006-11-16","118.16","118.00","118.36","117.73","","0.15%"
"2006-11-15","117.98","117.56","118.22","117.50","","0.31%"
"2006-11-14","117.62","118.13","118.19","117.23","","-0.47%"
"2006-11-13","118.18","117.56","118.31","117.11","","0.48%"
"2006-11-10","117.61","117.90","117.95","117.15","","-0.28%"
"2006-11-09","117.94","117.82","118.61","117.68","","0.08%"
"2006-11-08","117.84","117.66","118.02","117.36","","0.10%"
"2006-11-07","117.72","118.28","118.33","117.23","","-0.47%"
"2006-11-06","118.27","118.05","118.46","117.77","","0.21%"
"2006-11-03","118.02","117.13","118.21","116.94","","0.78%"
"2006-11-02","117.11","117.04","117.39","116.65","","0.03%"
"2006-11-01","117.08","116.96","117.17","116.55","","0.11%"
"2006-10-31","116.95","117.45","118.06","116.60","","-0.40%"
"2006-10-30","117.42","117.46","117.63","117.18","","-0.15%"
"2006-10-27","117.60","118.40","118.73","117.13","","-0.69%"
"2006-10-26","118.42","119.05","119.06","118.25","","-0.58%"
"2006-10-25","119.11","119.39","119.45","118.86","","-0.23%"
"2006-10-24","119.39","119.37","119.67","119.07","","0.05%"
"2006-10-23","119.33","118.72","119.44","118.55","","0.51%"
"2006-10-20","118.72","118.15","118.81","118.12","","0.47%"
