"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-05-05","134.04","134.15","134.26","133.99","21.21K","-0.09%"
"2023-05-04","134.16","134.54","134.88","133.51","159.17K","-0.38%"
"2023-05-03","134.68","136.55","136.63","134.68","152.41K","-1.36%"
"2023-05-02","136.53","137.49","137.78","136.31","155.02K","-0.69%"
"2023-05-01","137.48","136.29","137.54","136.19","114.74K","0.88%"
"2023-04-28","136.28","133.96","136.57","133.37","168.81K","1.75%"
"2023-04-27","133.94","133.68","134.21","133.22","139.07K","0.21%"
"2023-04-26","133.66","133.72","133.95","133.01","138.44K","-0.04%"
"2023-04-25","133.71","134.24","134.49","133.37","137.95K","-0.38%"
"2023-04-24","134.22","134.10","134.76","133.89","116.17K","0.05%"
"2023-04-21","134.15","134.24","134.51","133.55","107.64K","-0.06%"
"2023-04-20","134.23","134.71","134.98","134.01","130.95K","-0.34%"
"2023-04-19","134.69","134.12","135.13","133.94","118.61K","0.45%"
"2023-04-18","134.09","134.45","134.71","133.86","132.05K","-0.28%"
"2023-04-17","134.46","133.83","134.59","133.71","125.55K","0.52%"
"2023-04-14","133.77","132.59","133.87","132.16","141.44K","0.91%"
"2023-04-13","132.56","133.13","133.41","132.02","137.79K","-0.42%"
"2023-04-12","133.12","133.71","134.05","132.74","140.15K","-0.40%"
"2023-04-11","133.65","133.61","133.82","132.97","137.51K","0.04%"
"2023-04-10","133.60","132.13","133.88","131.83","130.24K","1.11%"
"2023-04-07","132.13","131.77","132.38","131.52","96.95K","0.28%"
"2023-04-06","131.76","131.32","131.91","130.77","121.66K","0.34%"
"2023-04-05","131.31","131.71","131.85","130.63","120.66K","-0.29%"
"2023-04-04","131.69","132.41","133.18","131.52","127.69K","-0.54%"
"2023-04-03","132.41","132.99","133.76","132.20","154.20K","-0.29%"
"2023-03-31","132.79","132.66","133.61","132.58","161.16K","0.11%"
"2023-03-30","132.65","132.85","132.98","132.21","150.28K","-0.14%"
"2023-03-29","132.84","130.90","132.89","130.76","151.55K","1.51%"
"2023-03-28","130.86","131.57","131.62","130.40","146.96K","-0.53%"
"2023-03-27","131.56","130.54","131.79","130.49","153.40K","0.67%"
"2023-03-24","130.69","130.82","130.95","129.65","158.16K","-0.09%"
"2023-03-23","130.81","131.45","131.68","130.32","166.95K","-0.48%"
"2023-03-22","131.44","132.51","133.01","131.00","159.66K","-0.79%"
"2023-03-21","132.49","131.32","132.64","131.03","157.41K","0.90%"
"2023-03-20","131.31","132.49","132.65","130.54","188.00K","-0.36%"
"2023-03-17","131.79","133.74","133.78","131.56","227.93K","-1.44%"
